STATION_KEY,PERSEN_LENGKAP,NAME,CURRENT LATITUDE,CURRENT LONGITUDE,CURRENT ELEVATION M
13110602a,100.0,Pekonina,-1.59054,101.14329,937
13071301a,100.0,Akabiluru,-0.24,100.55,595
13081601a,99.95,Simpati,0.01,100.16,301
13081402a,99.93,Rao,0.56,100.02,220
13760102a,99.9,Payakumbuh Barat,-0.25,100.62,0
13051001a,99.75,Ulakan Tapakis,-0.7,100.22,12
13030901a,99.58,Kumanis,-0.53,100.88,0
13720101a,99.43,Lubuk Sikarah,-0.77,100.61,390
13030402a,98.46,Muara Sijunjung,-0.6,100.99,202
13081301a,92.98,UPT-BP Ladang Panjang,0.04,100.05,112
13070601a,92.38,Pangkalan,0.09,100.73,0
13110101a,87.31,Lubuk Gadang Selatan,-1.55,101.25,572
13070501a,86.26,BPP Tanjung Pati,-0.17,100.66,0
13051601a,83.9,Tandikat,-0.5,100.25,209
13711102a,83.23,Lubuk Minturun,-0.85,100.38,53
13730201a,83.13,BPP Kolok,-0.6,100.73,263
13050801a,83.1,BPP Pilubang,-0.5376,100.09889,11
13051401a,83.03,Limau Purut,-0.53,100.17,0
13020801a,83.03,Muara Panas,-0.85,100.69,432
13740101a,82.98,PU Padang Panjang,-0.45,100.44,0
13051101a,82.93,BPP Sintuk,-0.65,100.26,65
13020601a,82.88,Lembang Jaya,-0.97,100.72,0
13050301a,82.83,Sunur,-0.67,100.19,33
13050701a,82.8,Sei Geringging,-0.41986,100.08845,233
13711001a,82.75,Nanggalo,-0.91,100.36,0
13010403a,82.53,BPK Batang Kapas,-1.49,100.61,7
13710202a,82.5,Muara Palam - Parak Karakah,-0.94,100.38,13
13040101a,82.3,BPK X Koto Paninjauan,-0.44,100.42,989
13041401a,82.3,Malalo,-0.57,100.48,405
13100701a,82.16,BPP Koto Salak,-1.19,101.73,76
13020701a,81.98,Gunung Talang,-1.02,100.63,0
13040201a,81.91,Batipuh,-0.47,100.46,0
13770101a,80.86,Pariaman,-0.6,100.13,27
13050201a,80.79,Kuliek,-0.74,100.33,0
13070103a,80.76,Suliki,-0.1,100.5,540
13100702a,80.64,Timpeh,-0.92,101.58,101
13030601a,80.24,Sei Langsat,-0.91,101.3,185
13070402a,80.21,Luhak,-0.28,100.68,827
13010103a,80.19,Air Pura,-1.99,100.95,21
13051501a,79.97,Kandang Ampek,-0.5,100.34,388
13050901a,79.74,Padang Laring,-0.34,100.09,318
13041001a,79.74,Salimpaung,-0.33,100.57,0
13051502a,79.72,Sicaung,-0.52,100.31,111
13720201a,79.47,Tanjung Harapan,-0.76,100.65,0
13021901a,79.29,Danau Kembar,-1.04257,100.73507,1608
13070701a,78.87,Muara Paiti,0.24,100.55,129
13080701a,78.65,Petok,0.29389,100.0975,248
13090401a,78.35,Muara Sikabaluan,-1.13,98.98,2
13120601a,78.0,Gunung Tuleh,0.2363,99.7166,43
13010302a,77.28,Kambang,-1.67,100.74,25
13060501a,77.18,Koto Tuo,-0.37,100.3,1031
13060101a,76.9,Tiku,-0.37,99.91,9
13080401a,76.51,Bonjol,0.0,100.25,700
13060801a,76.41,Baso,-0.3,100.48,1020
13021201a,76.18,BPK X Koto Diatas,-0.62028,100.6433,479
13040402a,76.08,Cubadak,-0.47,100.54,0
13120501a,75.96,Kinali,-0.02,99.85,37
13010402a,75.86,PU Batang Kapas - Tanah Kareh,-1.48,100.62,20
13060202a,75.83,Lubuk Basung,-0.29,99.95,0
13010701a,75.66,Tarusan,-1.24,100.47,0
13010702a,75.54,BPK Duku Nanggalo,-1.16,100.48,33
13010601a,75.44,BPK Bayang Api-Api,-1.29,100.49,3
13021001a,75.44,Kubung,-0.83047,100.60766,642
13080501a,75.36,Lubuk Sikaping,0.13722,100.1681,455
13100101a,75.24,BPP Koto Baru,-1.04,101.67,129
13061301a,74.99,BPP Bawan,-0.2,100.0,20
13040502a,74.96,Saruaso,-0.53,100.63,367
13121003a,74.86,Sei Talang,0.03,99.79,0
13030304a,74.56,Tanjung Lolo,-0.89462,101.19145,231
13030902a,74.37,Sumpur Kudus,-0.42,100.9,258
13030801a,74.29,BPK Tanjung Ampalu,-0.64,100.96,182
13060303a,74.19,Tanjung Raya - Maninjau,-0.29,100.15,474
13031001a,74.07,Kupitan,-0.7,100.84,206
13040801a,73.87,Sei Tarab,-0.41,100.57,1004
13120101a,73.67,Parit,0.28,99.53,0
13021301a,73.49,Muaro Pingai,-0.69,100.54,412
13021104a,73.39,Balitbu Sumani,-0.71964,100.59724,368
13021105f,73.22,Balitbu Aripan,-0.698,100.6,0
13030701a,73.2,Lubuk Tarok,-0.82,101.03,192
13040202a,73.17,Ombilin weir,-0.56,100.55,373
13030401a,72.82,BPK Sijunjung,-0.7,101.01,175
13030302a,72.8,Tanjung Gadang,-0.78,101.17,0
13021701a,72.47,BPK Hiliran Gumanti,-1.095,100.87,0
13061102a,71.93,Palembayan,-0.19,100.23,776
13030501a,71.73,BPP 4 Nagari,-0.67,100.88,186
13020301a,71.73,BBI Surian,-1.24861,100.87,1044
13010902a,71.7,BPK Linggo Sari Baganti,-1.91,100.88,0
13040304a,71.58,Rambatan,-0.51,100.57,0
13061001a,70.93,GAW Palupuh,-0.18,100.34,0
13041101a,70.66,Padang Ganting,-0.53,100.68,0
13010202a,70.56,BPK Padang Laban,-1.917,100.87,2
13110107a,70.38,BPP Sangir Batanghari,-1.27,101.39,196
13051503a,70.33,Staklim Padang Pariaman,-0.546,100.3,134
13071002a,70.28,Situjuah,-0.293,100.64,0
13040301a,70.08,Galo Gandang,-0.48541,100.55552,573
13020403f,70.08,UPTD Alahan Panjang,-0.98,100.78,1535
13070104a,69.81,BP3K Bukit Barisan,-0.06,100.52,0
13120301a,69.69,Sukamenanti,0.102,99.81,192
13760501a,69.64,Payakumbuh Selatan,-0.25,100.63,0
13760101a,69.59,Padang Mangatas,-0.27,100.68,0
13710704a,69.49,Water Plan Semen Padang,-0.961,100.48,0
13100203a,69.46,Sei Dareh,-1.061,101.5,0
13121101a,69.14,Sasak,0.011,99.7,4
13120102a,68.96,Sei Baremas,0.24,99.45,19
13120402a,68.89,UPTB Talamau,0.23,99.9672,0
13020501a,68.72,Payung Sekaki,-0.91,100.78,0
13710101e,68.67,Teluk Bayur,-0.98,100.36,0
13070504a,68.59,Politani Tanjungpati,-0.17,100.67,0
13020901a,68.27,BPK IX Koto Seilasi,-0.796,100.78,0
13710702a,66.82,Bandar Buat,-0.953,100.42,0
13110202a,66.58,Pakan Salasa - Muara Labuh,-1.402,101.05,0
13110106a,66.33,Sangir Jujuan,-1.43,101.32,363
13710701a,66.18,Tambang Semen Padang,-0.96,100.5,690
13020401a,66.1,BPK Lembah Gumanti,-1.084,100.78,1623
13100401a,66.03,Sitiung,-1.01,101.59,0
13040701a,65.41,BPP Sungayang,-0.38,100.63,0
13021801a,65.21,Tigo Lurah,-1.055,101.05,0
13040504a,65.06,Diperta Tanah Datar,-0.475,100.62,0
13021102a,64.98,X Koto Singkarak,-0.71,100.6,393
13750101a,64.93,BPBD Bukittinggi,-0.28,100.37,0
13060902a,64.78,GAW Pasadama,-0.25,100.38,889
13011002Z,63.64,Lunang,-2.26,101.1,5
13050203a,63.56,StaMet Minangkabau,-0.79333,100.28889,6
13050501a,63.22,BPP Balah Air,-0.59,100.21,0
13740201a,61.67,Stageof PPI,-0.471,100.42,0
13710803a,61.5,Limau Manih - UNAND,-0.9164,100.4367,0
13060401a,54.9,Matur,-0.305,100.2528,1163
13070203a,52.64,Guguak,-0.91889,100.6358,800
13060903a,50.02,Kamang Mudiak,-0.20408,100.41941,861
13040803a,45.05,Bpp Sei Tarab,-0.37183,100.55294,893
13750202a,40.89,BPP Talao,-0.29,100.37,0
13090301a,39.12,Muara Siberut,-1.59773,99.19568,17
13010102a,38.68,Pu Tapan,-2.15,101.08,22
13110301a,38.45,BPP Koto Parik Gadang Diateh,-1.27,101.07,499
13100301a,34.0,BPP Koto Besar,-1.2558,100.7083,126
13100204a,27.25,PU Sei Dareh,-0.9622,101.5019,130
13090802a,25.46,Tua Pejat,-2.049,99.59,0
13750201a,24.69,Mandiangin Bk. Tinggi,0.28583,100.3875,903
13041102a,19.06,BPP Padang Ganting,-0.51393,100.72487,336
13020704a,12.59,Gunuang Talang,-0.95149,100.61979,1014
13710103a,9.38,Stamar Teluk Bayur,-0.98389,100.38278,10
13041402a,8.93,Ombilin,-0.58833,100.48417,465
13110103a,7.81,Peconina,-1.59054,101.14329,937
13760201a,5.53,Payakumbuh Utara,-0.2494,100.6308,0
13060301a,4.01,Maninjau Kc,-0.31444,100.24222,738
13020703a,3.04,Lubuk Selasih,-0.90194,100.6378,0
13021101a,2.79,Sumani Pompanisasi,-0.735,100.6022,0
13070101a,2.22,Limbanang,0.08361,100.4339,0
13770401a,1.05,Disperta Pariaman,-0.59595,100.16122,41
13040802a,0.97,Sungai Tarab,-0.41333,100.6794,1004
13710801a,0.7,Rs Bunga,-0.9358,100.4611,0
13010201a,0.52,PU Ranah Pesisir,-1.79426,100.80558,14
13770102a,0.22,Air Santok,-0.5933,100.1628,43
