STATION_KEY,TETANGGA_1,TETANGGA_2,TETANGGA_3,TETANGGA_4,TETANGGA_5
13010103a,13010902a,13010202a,13011002Z,13010302a,13110602a
13010202a,13010902a,13010103a,13010302a,13011002Z,13110602a
13010302a,13010403a,13010402a,13010902a,13010202a,13010103a
13010402a,13010403a,13010302a,13010601a,13010701a,13020301a
13010403a,13010402a,13010302a,13010601a,13010701a,13010702a
13010601a,13010701a,13010702a,13010402a,13010403a,13020701a
13010701a,13010601a,13010702a,13020701a,13710704a,13710701a
13010702a,13010701a,13010601a,13710704a,13710701a,13020701a
13010902a,13010202a,13010103a,13010302a,13011002Z,13110602a
13011002Z,13010103a,13010202a,13010902a,13110602a,13010302a
13020301a,13021701a,13020401a,13110202a,13021901a,13021801a
13020401a,13021901a,13021701a,13020403f,13020601a,13020701a
13020403f,13020601a,13020501a,13021901a,13020401a,13021701a
13020501a,13020403f,13020601a,13020801a,13020901a,13021901a
13020601a,13020403f,13021901a,13020501a,13070203a,13020701a
13020701a,13070203a,13020601a,13021901a,13710701a,13020403f
13020801a,13021001a,13070203a,13720201a,13020901a,13020501a
13020901a,13020801a,13031001a,13020501a,13720201a,13030501a
13021001a,13720101a,13720201a,13020801a,13070203a,13021104a
13021102a,13021104a,13021105f,13720101a,13021301a,13720201a
13021104a,13021102a,13021105f,13720101a,13021301a,13720201a
13021105f,13021102a,13021104a,13021301a,13720101a,13720201a
13021201a,13021105f,13730201a,13040502a,13041101a,13021102a
13021301a,13021105f,13021102a,13021104a,13720101a,13021201a
13021701a,13020401a,13021901a,13020403f,13020301a,13021801a
13021801a,13021701a,13030304a,13030701a,13020301a,13020401a
13021901a,13020401a,13020601a,13020403f,13020701a,13020501a
13030302a,13030304a,13030701a,13030401a,13030601a,13030801a
13030304a,13030601a,13030302a,13030701a,13021801a,13030401a
13030401a,13030801a,13030402a,13030701a,13030501a,13031001a
13030402a,13030801a,13030401a,13030501a,13030901a,13031001a
13030501a,13031001a,13030801a,13030402a,13030401a,13030901a
13030601a,13030304a,13030302a,13100203a,13100702a,13030701a
13030701a,13030401a,13030302a,13030304a,13030801a,13030501a
13030801a,13030402a,13030401a,13030501a,13031001a,13030901a
13030901a,13030902a,13030402a,13030801a,13030501a,13730201a
13030902a,13030901a,13030402a,13030801a,13041101a,13730201a
13031001a,13030501a,13020901a,13030801a,13730201a,13030401a
13040101a,13740101a,13740201a,13040201a,13051501a,13040402a
13040201a,13740101a,13740201a,13040101a,13040402a,13040301a
13040202a,13040304a,13041401a,13040301a,13040502a,13040402a
13040301a,13040402a,13040304a,13040504a,13040202a,13040801a
13040304a,13040301a,13040402a,13040202a,13040504a,13040502a
13040402a,13040301a,13040304a,13040801a,13040201a,13040504a
13040502a,13041101a,13040504a,13040304a,13040202a,13040301a
13040504a,13040502a,13040304a,13040301a,13040402a,13041101a
13040701a,13040801a,13041001a,13071002a,13040504a,13070402a
13040801a,13040701a,13040402a,13040301a,13041001a,13040504a
13041001a,13040701a,13071002a,13040801a,13071301a,13760102a
13041101a,13040502a,13040504a,13730201a,13021201a,13040304a
13041401a,13040202a,13040201a,13040304a,13040301a,13740201a
13050201a,13050203a,13051101a,13051001a,13711102a,13050301a
13050203a,13050201a,13711102a,13051001a,13711001a,13051101a
13050301a,13051001a,13051101a,13050501a,13770101a,13051401a
