STATION_KEY,NAMA_STASIUN,BATAS_ATAS_IQR_MM,JUMLAH_OUTLIER,PERSEN_OUTLIER
13021301a,Muaro Pingai,8.64,632,15.729
13030901a,Kumanis,12.5,606,15.082
13760102a,Payakumbuh Barat,12.5,597,14.858
13030402a,Muara Sijunjung,15.0,590,14.684
13021201a,BPK X Koto Diatas,10.22,557,13.863
13040202a,Ombilin weir,7.5,547,13.614
13030902a,Sumpur Kudus,12.5,547,13.614
13070402a,Luhak,14.45,543,13.514
13010601a,BPK Bayang Api-Api,20.0,541,13.464
13021104a,Balitbu Sumani,12.5,534,13.29
13030801a,BPK Tanjung Ampalu,15.08,532,13.24
13730201a,BPP Kolok,12.5,528,13.141
13020801a,Muara Panas,12.5,519,12.917
13010302a,Kambang,21.39,518,12.892
13071301a,Akabiluru,15.0,518,12.892
13010403a,BPK Batang Kapas,22.5,504,12.544
13040801a,Sei Tarab,12.5,502,12.494
13031001a,Kupitan,13.51,498,12.394
13040304a,Rambatan,12.5,497,12.369
13081402a,Rao,15.0,496,12.344
13010701a,Tarusan,25.63,493,12.27
13010702a,BPK Duku Nanggalo,27.5,490,12.195
13040504a,Diperta Tanah Datar,14.72,490,12.195
13030501a,BPP 4 Nagari,15.0,489,12.17
13100203a,Sei Dareh,18.88,485,12.071
13030401a,BPK Sijunjung,17.5,484,12.046
13711001a,Nanggalo,30.0,484,12.046
13061301a,BPP Bawan,32.5,482,11.996
13010402a,PU Batang Kapas - Tanah Kareh,22.26,481,11.971
13720201a,Tanjung Harapan,13.27,481,11.971
13021105f,Balitbu Aripan,11.0,481,11.971
13060101a,Tiku,28.75,478,11.896
13061102a,Palembayan,14.95,475,11.822
13051001a,Ulakan Tapakis,32.5,471,11.722
13041001a,Salimpaung,17.5,468,11.648
13050501a,BPP Balah Air,25.38,463,11.523
13050301a,Sunur,30.0,463,11.523
13770101a,Pariaman,30.9,462,11.498
13050801a,BPP Pilubang,27.82,459,11.424
13710202a,Muara Palam - Parak Karakah,27.5,457,11.374
13100702a,Timpeh,22.5,457,11.374
13010902a,BPK Linggo Sari Baganti,20.97,457,11.374
13021001a,Kubung,12.5,456,11.349
13070504a,Politani Tanjungpati,16.25,455,11.324
13060501a,Koto Tuo,17.5,453,11.274
13010202a,BPK Padang Laban,22.5,453,11.274
13710101e,Teluk Bayur,29.64,449,11.175
