STATION_KEY,NAMA_STASIUN,rata2_mm,median_mm,max_mm,std_mm,hari_ekstrem
13051501a,Kandang Ampek,15.28378902915854,5.0,214.0,23.779485892264812,8
13120601a,Gunung Tuleh,14.809713015399927,4.175748685553332,150.0,22.39083686828695,3
13121101a,Sasak,14.56470621766433,4.0,328.0,24.014845688523,14
13051601a,Tandikat,13.800772157681207,3.0,296.0,24.290705660436814,18
13050701a,Sei Geringging,13.120003916018899,2.896941155822592,302.0,22.781704417092055,10
13710704a,Water Plan Semen Padang,12.706265893153729,2.9434451652421725,260.5,22.355368824472915,8
13120402a,UPTB Talamau,12.603317665545351,4.868266910852704,210.0,19.501025769455623,6
13051503a,Staklim Padang Pariaman,12.460999704452275,2.7,257.5,22.721920595916423,16
13710701a,Tambang Semen Padang,12.362051286419971,2.0,261.0,23.78973262090038,18
13050201a,Kuliek,12.351814294656476,0.0,337.0,25.126571025358505,13
13110602a,Pekonina,12.261448481831756,3.0,229.0,19.780177930868263,3
13120301a,Sukamenanti,12.221816729046322,3.467732058481552,154.0,19.992715720034678,2
13051502a,Sicaung,12.213458670909842,3.0,211.0,20.63847840608758,4
13061301a,BPP Bawan,11.980168451778827,0.0,225.0,23.632680689933718,14
13711102a,Lubuk Minturun,11.864989122358292,1.0,261.0,23.4199102017472,11
13051001a,Ulakan Tapakis,11.798524105966397,0.0,310.0,24.550838290428924,21
13081601a,Simpati,11.782852165256346,2.0,204.0,20.29435055145272,5
13060202a,Lubuk Basung,11.697367852885277,2.0,218.5,22.47032242524026,12
13711001a,Nanggalo,11.580117716071156,1.0,434.0,25.289981334996188,24
13050901a,Padang Laring,11.490038803100926,2.018272295154378,247.0,21.235394155437238,11
13050203a,StaMet Minangkabau,11.480391426822976,2.1914019361462156,398.0,23.578008575025216,16
13710803a,Limau Manih - UNAND,11.467853791438069,2.0,256.0,21.69970051765735,15
13051401a,Limau Purut,11.462546442199194,2.0,286.0,22.967702265892633,16
13770101a,Pariaman,11.133953502263006,1.5,231.5,22.20021985696695,16
13080401a,Bonjol,11.080878694975189,4.0,312.0,17.477699749122902,2
13710101e,Teluk Bayur,11.063867820803784,2.0,384.5,23.206194143173594,16
13110101a,Lubuk Gadang Selatan,10.97519258592062,3.0,226.0,18.344432464675677,3
13011002Z,Lunang,10.900261447027974,2.687496822258037,177.0,19.306878117585264,4
13060101a,Tiku,10.877084041109299,1.7931114010472469,279.5,21.685239378596876,12
13710202a,Muara Palam - Parak Karakah,10.661245952461917,1.2,375.0,23.461867808145087,19
13120501a,Kinali,10.657990960539474,2.0,232.0,19.800101500580613,6
13050301a,Sunur,10.583301523877589,0.0,304.0,21.06018393445291,4
13110202a,Pakan Salasa - Muara Labuh,10.230760809023904,5.0,195.0,15.444226420941755,2
13080501a,Lubuk Sikaping,10.208900041601032,4.372859566316711,150.0,15.5559357347119,1
13010702a,BPK Duku Nanggalo,10.187828376596928,0.0,320.0,21.143829909782298,8
13050801a,BPP Pilubang,10.112680810414128,0.0,249.6,21.093803538272024,7
13010701a,Tarusan,10.023012486558306,0.0,320.0,21.316784198639024,5
13120101a,Parit,10.018855117490574,3.0,178.0,17.069541290849138,3
13051101a,BPP Sintuk,10.004980878566004,1.4864062809692191,223.0,19.314476391302158,9
13110107a,BPP Sangir Batanghari,9.98258647100313,2.0,320.0,18.531672211541654,5
13070701a,Muara Paiti,9.979398696990025,2.0,176.0,17.807421752081243,2
13081301a,UPT-BP Ladang Panjang,9.932313084441228,0.0,214.0,18.922280492453837,10
13710702a,Bandar Buat,9.800292215792393,0.7214623788293024,439.0,23.156736764276065,19
13010103a,Air Pura,9.759259731141523,3.0,197.0,17.870057764140725,6
