fitur,importance
ROLL_MAX_30,0.10780687
SARIMA_MUSIMAN,0.058143344
ROLL_MAX_14,0.047707617
RAINFALL_TETANGGA_AVG,0.045777883
CONSEC_RAIN,0.044235844
HARI_TAHUN,0.042602655
SIN_HARI_TAHUN,0.039138813
BULAN,0.038010634
COS_HARI_TAHUN,0.037569296
SIN_BULAN,0.036112737
LAG_14,0.03478701
ROLL_MAX_7,0.031728067
TETANGGA_ROLL_MEAN_7,0.03142203
COS_BULAN,0.0298966
ROLL_SUM_30,0.028691895
ROLL_MEAN_30,0.028438563
SARIMA_RESIDU,0.027937213
ROLL_MAX_3,0.027190283
ROLL_SUM_14,0.027021935
ROLL_MEAN_7,0.02373459
ROLL_MEAN_14,0.02327009
SPASIAL_X_ROLL7,0.02293302
ROLL_SUM_7,0.02289788
LAG_30,0.021431996
ROLL_MEAN_3,0.0196623
LAG_7,0.018943131
TETANGGA_LAG1,0.018784853
ROLL_SUM_3,0.018137822
LAG_3,0.016947526
LAG_1,0.015049809
LAG_2,0.013987655
