fitur,importance
ROLL_MAX_30,0.16477191
ROLL_MAX_14,0.15871377
ROLL_MAX_7,0.08367191
LAG_14,0.04738022
RAINFALL_TETANGGA_AVG,0.044463143
SARIMA_MUSIMAN,0.040743876
CONSEC_RAIN,0.039488297
COS_BULAN,0.03687457
BULAN,0.034913942
HARI_TAHUN,0.030961337
COS_HARI_TAHUN,0.027389525
SARIMA_RESIDU,0.023805317
TETANGGA_ROLL_MEAN_7,0.022610156
SIN_HARI_TAHUN,0.022534225
ROLL_SUM_30,0.021931801
LAG_7,0.02035056
SIN_BULAN,0.019499414
ROLL_SUM_3,0.018363418
ROLL_MEAN_30,0.01798694
ROLL_MAX_3,0.017593281
LAG_30,0.016832577
LAG_3,0.01655693
SPASIAL_X_ROLL7,0.016037298
ROLL_MEAN_7,0.013632185
LAG_2,0.013379914
ROLL_MEAN_14,0.013037451
ROLL_SUM_7,0.007039098
TETANGGA_LAG1,0.0066924333
ROLL_MEAN_3,0.0027444707
LAG_1,0.0
ROLL_SUM_14,0.0
