STATION_KEY,MAE_mm_bulanan,RMSE_mm_bulanan
13010103a,3.97,5.09
13010202a,4.27,5.41
13010302a,4.27,5.64
13010402a,3.72,5.25
13010403a,5.21,6.99
13010601a,3.37,4.9
13010701a,5.47,7.37
13010702a,3.56,4.83
13010902a,4.71,5.71
13011002Z,5.91,8.61
13020301a,3.46,4.45
13020401a,2.26,2.89
13020403f,2.47,2.95
13020501a,2.45,3.21
13020601a,3.27,4.15
13020701a,2.45,4.5
13020801a,2.75,4.0
13020901a,2.38,2.93
13021001a,2.38,2.84
13021102a,2.75,3.18
13021104a,3.07,3.71
13021105f,2.26,2.54
13021201a,2.33,2.9
13021301a,4.54,5.08
13021701a,3.5,4.16
13021801a,4.68,7.13
13021901a,2.9,3.77
13030302a,3.4,4.24
13030304a,4.22,5.71
13030401a,3.55,4.09
13030402a,2.42,2.91
13030501a,2.54,2.95
13030601a,3.66,4.63
13030701a,3.76,4.44
13030801a,3.11,3.62
13030901a,2.85,3.34
13030902a,2.4,2.98
13031001a,2.56,2.99
13040101a,3.19,3.53
13040201a,3.17,3.72
13040202a,2.57,3.19
13040301a,3.02,3.49
13040304a,2.89,3.6
13040402a,2.84,3.46
13040502a,2.19,3.06
13040504a,2.97,3.69
13040701a,3.34,4.52
13040801a,3.2,4.01
13041001a,3.01,3.74
13041101a,3.37,4.3
13041401a,3.76,5.98
13050201a,5.4,7.26
13050203a,6.32,9.8
13050301a,3.72,5.32
13050501a,3.4,4.53
13050701a,5.42,6.44
13050801a,4.15,6.11
13050901a,4.37,5.82
13051001a,4.68,6.77
13051101a,3.32,5.04
13051401a,5.23,8.14
13051501a,5.59,7.04
13051502a,5.34,6.04
13051503a,6.04,7.48
13051601a,5.75,6.76
13060101a,5.12,6.53
13060202a,4.91,7.1
13060303a,4.44,5.82
13060401a,4.55,5.78
13060501a,2.83,3.76
13060801a,2.83,3.36
13060902a,3.69,4.89
13060903a,2.63,3.37
13061001a,4.63,6.56
13061102a,3.35,5.22
13061301a,5.52,6.27
13070103a,2.69,3.21
13070104a,2.33,2.92
13070203a,2.29,2.97
13070402a,3.09,3.63
13070501a,2.26,2.66
13070504a,2.73,3.03
13070601a,4.42,5.61
13070701a,4.1,4.99
13071002a,5.39,6.14
13071301a,2.18,2.84
13080401a,3.73,4.62
13080501a,4.14,4.99
13080701a,2.71,3.26
13081301a,6.84,8.56
13081402a,2.73,3.55
13081601a,2.91,3.72
13090401a,6.66,7.22
13100101a,4.9,6.6
13100203a,4.0,4.93
13100401a,4.1,5.0
13100701a,3.24,3.88
13100702a,4.27,5.28
13110101a,5.14,6.03
13110106a,4.55,5.57
13110107a,4.69,6.06
13110202a,4.78,6.31
13110602a,6.11,7.82
13120101a,6.58,7.53
13120102a,5.39,6.72
13120301a,3.96,5.17
13120402a,6.12,7.29
13120501a,4.54,5.71
13120601a,6.64,8.04
13121003a,4.49,5.65
13121101a,7.88,9.99
13710101e,4.57,6.4
13710202a,5.73,7.46
13710701a,5.51,8.24
13710702a,6.12,7.91
13710704a,4.4,6.14
13710803a,4.82,6.94
13711001a,4.81,6.94
13711102a,4.7,8.21
13720101a,3.27,4.13
13720201a,2.62,3.5
13730201a,2.54,3.24
13740101a,1.94,2.51
13740201a,4.07,5.65
13750101a,2.3,2.88
13760101a,2.77,3.19
13760102a,2.41,3.38
13760501a,3.06,3.99
13770101a,4.55,7.29
